CMDLINE python3 thread/client.py
MEM 27.234375 1729535391.6031
MEM 27.234375 1729535391.7033
MEM 27.234375 1729535391.8035
MEM 27.234375 1729535391.9055
MEM 27.250000 1729535392.0106
MEM 27.250000 1729535392.1145
MEM 27.250000 1729535392.2177
MEM 27.250000 1729535392.3190
MEM 27.250000 1729535392.4241
MEM 27.250000 1729535392.5293
MEM 27.250000 1729535392.6338
MEM 27.250000 1729535392.7340
MEM 27.250000 1729535392.8362
MEM 27.250000 1729535392.9413
MEM 27.265625 1729535393.0460
MEM 27.265625 1729535393.1511
MEM 27.265625 1729535393.2561
MEM 27.265625 1729535393.3592
MEM 27.265625 1729535393.4643
MEM 27.265625 1729535393.5694
MEM 27.265625 1729535393.6736
MEM 27.265625 1729535393.7755
MEM 27.265625 1729535393.8786
MEM 27.265625 1729535393.9837
MEM 27.281250 1729535394.0888
MEM 27.281250 1729535394.1934
MEM 27.281250 1729535394.2985
MEM 27.328125 1729535394.4037
MEM 27.312500 1729535394.5051
MEM 27.390625 1729535394.6102
MEM 27.390625 1729535394.7154
MEM 27.390625 1729535394.8177
MEM 27.390625 1729535394.9183
MEM 27.250000 1729535395.0235
MEM 27.250000 1729535395.1240
MEM 27.250000 1729535395.2292
MEM 27.250000 1729535395.3343
MEM 27.250000 1729535395.4394
MEM 27.250000 1729535395.5445
MEM 27.250000 1729535395.6497
MEM 27.265625 1729535395.7510
MEM 27.265625 1729535395.8562
MEM 27.218750 1729535395.9577
MEM 27.218750 1729535396.0628
MEM 27.218750 1729535396.1680
MEM 27.218750 1729535396.2731
MEM 27.218750 1729535396.3754
MEM 27.218750 1729535396.4776
MEM 27.218750 1729535396.5828
MEM 27.218750 1729535396.6879
MEM 27.218750 1729535396.7931
MEM 27.218750 1729535396.8958
MEM 27.218750 1729535397.0009
MEM 27.218750 1729535397.1061
MEM 27.218750 1729535397.2089
MEM 27.218750 1729535397.3140
MEM 27.234375 1729535397.4171
MEM 27.250000 1729535397.5177
MEM 27.265625 1729535397.6228
MEM 27.265625 1729535397.7279
MEM 27.281250 1729535397.8314
MEM 27.281250 1729535397.9315
MEM 27.281250 1729535398.0342
MEM 27.296875 1729535398.1393
MEM 27.296875 1729535398.2432
MEM 27.296875 1729535398.3483
MEM 27.296875 1729535398.4523
MEM 27.296875 1729535398.5575
MEM 27.296875 1729535398.6625
MEM 27.296875 1729535398.7677
MEM 27.312500 1729535398.8728
MEM 27.312500 1729535398.9779
MEM 27.312500 1729535399.0830
MEM 27.312500 1729535399.1840
MEM 27.312500 1729535399.2891
MEM 27.312500 1729535399.3942
MEM 27.312500 1729535399.4994
MEM 27.312500 1729535399.6021
MEM 27.312500 1729535399.7048
MEM 27.312500 1729535399.8099
MEM 27.312500 1729535399.9131
MEM 27.312500 1729535400.0169
