CMDLINE python3 async/client.py
MEM 26.750000 1729535075.9058
MEM 26.750000 1729535076.0109
MEM 26.750000 1729535076.1161
MEM 26.750000 1729535076.2206
MEM 26.750000 1729535076.3208
MEM 26.718750 1729535076.4259
MEM 26.718750 1729535076.5310
MEM 26.718750 1729535076.6362
MEM 26.718750 1729535076.7414
MEM 26.718750 1729535076.8465
MEM 26.718750 1729535076.9516
MEM 26.718750 1729535077.0567
MEM 26.718750 1729535077.1581
MEM 26.656250 1729535077.2598
MEM 31.781250 1729535077.3623
MEM 31.781250 1729535077.4673
MEM 31.781250 1729535077.5724
MEM 31.781250 1729535077.6766
MEM 31.781250 1729535077.7803
MEM 31.781250 1729535077.8854
MEM 31.781250 1729535077.9898
MEM 31.781250 1729535078.0939
MEM 31.781250 1729535078.1990
MEM 31.781250 1729535078.3031
